Tair,Humidity,Pressure,WindDirection,WindSpeed,GlobalRadiation
2.4,93,1015.7,50,1.3,0.0
2.6,79,0,70,2.4,0.0
2.8,76,0,70,2.1,0.0
2.7,76,1016.3,70,2.2,0.0
2.7,76,0,70,2,0.0
2.1,79,0,70,2.2,0.0
2,77,1015.9,70,2,0.0
2.1,75,0,70,3.3,0.0
2.3,74,0,70,3.2,0.0
2.9,70,1016.4,70,2.6,8.333334
4.6,65,0,70,3.6,47.222226000000006
5.3,60,0,70,3.1,116.666676
6.6,56,1015.5,70,2.4,0.0
8.2,52,0,70,3.4,466.666704
9,49,0,70,3.4,183.33334800000003
9.4,47,1012.8,70,2.9,216.66668400000003
8.7,50,0,70,2.3,136.111122
8.3,52,0,90,2,50.000004
7.1,58,1012.6,70,3,13.888890000000002
6.6,61,0,70,2.6,0.0
6.4,62,0,70,2.2,0.0
6.5,62,1012.2,70,2.5,0.0
6.2,64,0,70,3.1,0.0
6.3,63,0,50,3.5,0.0
6.7,62,1010.6,50,3.1,0.0
6.8,75,0,70,2.5,0.0
6.4,76,0,70,2.4,0.0
6,77,1008,70,2.9,0.0
6.2,78,0,70,2.3,0.0
6,83,0,70,3.1,0.0
6.2,84,1004.5,70,3.4,0.0
6.2,91,0,70,2.5,0.0
6.3,92,0,90,0.9,0.0
6.4,94,1003,200,5,0.0
5.5,94,0,230,3.9,5.555556
4.8,93,0,270,4.5,8.333334
5.3,89,1004.3,250,4.3,13.888890000000002
6.2,71,0,250,5.5,125.00001
6.1,60,0,270,6,197.222238
6.1,58,1003.9,270,5.2,194.44446
5.6,58,0,270,4.3,150.00001200000003
4.6,62,0,250,2.7,72.222228
3.6,63,1006.3,270,4.2,0.0
2.7,65,0,250,3.7,0.0
2.1,59,0,270,4.2,0.0
1.1,61,1007.5,270,4.5,0.0
0.1,68,0,270,4.8,0.0
-0.3,66,0,270,5.1,0.0
-0.9,68,1008.6,270,4.4,0.0
-1.1,71,0,270,3.8,0.0
-1.7,73,0,270,4.5,0.0
-2,68,1009.9,290,3.9,0.0
-2.6,72,0,290,3.9,0.0
-3.1,71,0,290,3.3,0.0
-3.7,72,1010.4,290,3.2,0.0
-4.2,69,0,290,4.2,0.0
-4.4,67,0,290,2.7,0.0
-4.1,64,1012.1,290,3.1,8.333334
-3.8,54,0,320,3.7,69.44445
-3,49,0,320,4.3,155.55556800000002
-1.6,43,1012.1,290,2.6,216.66668400000003
-0.7,44,0,250,3.6,247.22224200000002
-0.5,37,0,270,4.3,255.55557600000003
0,37,1011.9,290,3.1,227.777796
0,42,0,270,2.9,136.111122
-1,47,0,290,3.6,86.111118
-1.6,48,1012.9,340,1.5,16.666668
-1.6,50,0,290,2.1,0.0
-1.6,50,0,290,1.1,0.0
-1.7,48,1013.4,290,2.8,0.0
-1.9,49,0,290,2,0.0
-2.5,52,0,20,1.4,0.0
-2.7,53,1014.1,50,0.7,0.0
-3.1,60,0,50,1.6,0.0
-3.2,57,0,50,1.4,0.0
-3.5,56,1014.4,50,1.9,0.0
-3.7,57,0,50,1.4,0.0
-3.9,61,0,50,1.3,0.0
-3.9,65,1014.5,50,2,0.0
-4,66,0,50,1.8,0.0
-3.8,66,0,50,2,0.0
-3,63,1015.5,50,1.7,8.333334
-1.5,59,0,50,1.8,50.000004
-0.2,54,0,70,2.7,102.777786
0.8,43,1015.3,70,2.7,147.22223400000001
2.2,35,0,70,2.7,180.55557000000002
3.9,31,0,50,1.8,186.111126
3.8,32,1013.8,70,1.4,163.888902
3.8,35,0,50,1.7,94.44445200000001
3.4,39,0,50,1.9,52.777782
3,41,1013.7,50,1.7,11.111112
2.8,44,0,50,2.1,0.0
2.5,45,0,50,2.4,0.0
2.1,45,1013.5,50,2.5,0.0
1.8,49,0,70,1.8,0.0
2.2,47,0,70,2,0.0
2.7,44,1013,70,2.5,0.0
2.4,46,0,70,2.6,0.0
2.8,45,0,70,2.7,0.0
2.9,45,1012.3,70,3,0.0
2.5,46,0,70,2.9,0.0
